	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
186	Using a metal kitchen tool on a cheese can create milk 	Using a metal kitchen tool on a cheese can create blue cheese 	Using a metal kitchen tool on a cheese can create melted cheese 	Using a metal kitchen tool on a cheese can create small pieces	D	 milk 	 blue cheese 	 melted cheese 	 small pieces
187	Someone in a room without any lights on, but that has mirrors in it, can still have light in that room if lights are turned on in another house 	Someone in a room without any lights on, but that has mirrors in it, can still have light in that room if a joined room is dark 	Someone in a room without any lights on, but that has mirrors in it, can still have light in that room if the room is completely dark 	Someone in a room without any lights on, but that has mirrors in it, can still have light in that room if a joined room is lit	D	 lights are turned on in another house 	 a joined room is dark 	 the room is completely dark 	 a joined room is lit
188	The increase in transport ability may increase the available types of houses 	The increase in transport ability may increase the available types of education 	The increase in transport ability may increase the available types of internet 	The increase in transport ability may increase the available types of grains	D	 houses 	 education 	 internet 	 grains
189	seeds are often found inside a banana 	seeds are often found inside a cherry 	seeds are often found inside a olive 	seeds are often found inside a strawberry	B	 banana 	 cherry 	 olive 	 strawberry
190	If two hawks find a dead fox, they will eat 	If two hawks find a dead fox, they will battle 	If two hawks find a dead fox, they will starve 	If two hawks find a dead fox, they will fly	B	 eat 	 battle 	 starve 	 fly
191	There are fuels that we are soon to run out of, and there are options that are like the sun, in that they are endlessly available 	There are fuels that we are soon to run out of, and there are options that are like the sun, in that inexpensive to store at home 	There are fuels that we are soon to run out of, and there are options that are like the sun, in that free for everyone's use 	There are fuels that we are soon to run out of, and there are options that are like the sun, in that available to the public	A	 they are endlessly available 	 inexpensive to store at home 	 free for everyone's use 	 available to the public
192	while passing Jupiter the better the view 	while passing Jupiter the stronger the gravity 	while passing Jupiter the moon orbits you 	while passing Jupiter the gravitational force weakens	B	 better the view 	 stronger the gravity 	 moon orbits you 	 gravitational force weakens
193	The sea is A mega Museum 	The sea is A solid 	The sea is Jello 	The sea is Candy	A	 A mega Museum 	 A solid 	 Jello 	 Candy
194	A beak is used for catching prey by some birds, like how they are used by chickadees 	A beak is used for catching prey by some birds, like how they are used by glass flamingos 	A beak is used for catching prey by some birds, like how they are used by chicks 	A beak is used for catching prey by some birds, like how they are used by plastic parrots	A	 chickadees 	 glass flamingos 	 chicks 	 plastic parrots
195	Flowers will reproduce more if dragonflies reproduce more often 	Flowers will reproduce more if pollinators visit them sparingly 	Flowers will reproduce more if they are planted in premium fertilizer 	Flowers will reproduce more if more bees make a pit stop at them	D	 dragonflies reproduce more often 	 pollinators visit them sparingly 	 they are planted in premium fertilizer 	 more bees make a pit stop at them
196	With the apple tree chopped down, there was now no place for apples 	With the apple tree chopped down, there was now no place for apple pies 	With the apple tree chopped down, there was now no place for falling leaves 	With the apple tree chopped down, there was now no place for bird's nests	D	 apples 	 apple pies 	 falling leaves 	 bird's nests
197	Recycling old cars has a positive impact on the weather 	Recycling old cars has a positive impact on conservation of metal 	Recycling old cars has a positive impact on human life span. 	Recycling old cars has a positive impact on the economy	B	 the weather 	 conservation of metal 	 human life span. 	 the economy
198	If your pet bird is having trouble flying lock them in their cage more 	If your pet bird is having trouble flying give up and get a new bird 	If your pet bird is having trouble flying try putting them on a diet 	If your pet bird is having trouble flying take away all their perches	C	 lock them in their cage more 	 give up and get a new bird 	 try putting them on a diet 	 take away all their perches
199	Seasons are caused by weather patterns 	Seasons are caused by earth's movement pattern 	Seasons are caused by weather changes 	Seasons are caused by weather cycles	B	 weather patterns 	 earth's movement pattern 	 weather changes 	 weather cycles
200	If a fox shuffles off the mortal coil, then that fox is a burden 	If a fox shuffles off the mortal coil, then that fox ceases to exist 	If a fox shuffles off the mortal coil, then that fox is missing 	If a fox shuffles off the mortal coil, then that fox is pregnant	B	 is a burden 	 ceases to exist 	 is missing 	 is pregnant
201	A beaver is building a home in a river, and that eventually blocks up the river, giving the beaver a nice home. A side effect of the beaver's new home is a pool 	A beaver is building a home in a river, and that eventually blocks up the river, giving the beaver a nice home. A side effect of the beaver's new home is freshwater body 	A beaver is building a home in a river, and that eventually blocks up the river, giving the beaver a nice home. A side effect of the beaver's new home is a mountain 	A beaver is building a home in a river, and that eventually blocks up the river, giving the beaver a nice home. A side effect of the beaver's new home is an ocean	B	 a pool 	 freshwater body 	 a mountain 	 an ocean
202	A remote device may be powered by a burning flame 	A remote device may be powered by a gusting breeze 	A remote device may be powered by a running sheep 	A remote device may be powered by a small explosion	B	 a burning flame 	 a gusting breeze 	 a running sheep 	 a small explosion
203	ultraviolet light is found in light from where the flaming ball of gas we orbit 	ultraviolet light is found in light from where giant planets in the neighborhood 	ultraviolet light is found in light from where light sources that we create 	ultraviolet light is found in light from where balls of fire lit with gas	A	 the flaming ball of gas we orbit 	 giant planets in the neighborhood 	 light sources that we create 	 balls of fire lit with gas
204	Vegetables provide a lot of nutrients for cats 	Vegetables provide a lot of nutrients for dogs 	Vegetables provide a lot of nutrients for humans 	Vegetables provide a lot of nutrients for snakes	C	 cats 	 dogs 	 humans 	 snakes
205	A prickly pear absorbs nutrients from below it 	A prickly pear absorbs nutrients from far from it 	A prickly pear absorbs nutrients from beside it 	A prickly pear absorbs nutrients from above it	A	 below it 	 far from it 	 beside it 	 above it
206	If electrical current is running the wire may be hot to the touch 	If electrical current is running the wire may be cool to the touch 	If electrical current is running the wire is automatically grounded 	If electrical current is running the wire is automatically water safe	A	 the wire may be hot to the touch 	 the wire may be cool to the touch 	 the wire is automatically grounded 	 the wire is automatically water safe
207	If a wolf is unable to catch prey reliably, the wolf will show ribs 	If a wolf is unable to catch prey reliably, the wolf will hunt more 	If a wolf is unable to catch prey reliably, the wolf will have pups 	If a wolf is unable to catch prey reliably, the wolf will take naps	A	 show ribs 	 hunt more 	 have pups 	 take naps
208	what does a barometer do to air pressure state its tightness 	what does a barometer do to air pressure store it 	what does a barometer do to air pressure disperse it 	what does a barometer do to air pressure condense it further	A	 state its tightness 	 store it 	 disperse it 	 condense it further
209	Because of human logging activities, some animals have to conserve their air 	Because of human logging activities, some animals have to conserve their water 	Because of human logging activities, some animals have to conserve their legs 	Because of human logging activities, some animals have to conserve their food	D	 air 	 water 	 legs 	 food
210	Humans are Air 	Humans are Sunlight 	Humans are Water 	Humans are Plants	C	 Air 	 Sunlight 	 Water 	 Plants
211	As I search among classifications, its groupings of materials, and properties, I may be looking for hydrogen peroxide 	As I search among classifications, its groupings of materials, and properties, I may be looking for aspirin 	As I search among classifications, its groupings of materials, and properties, I may be looking for vitamins 	As I search among classifications, its groupings of materials, and properties, I may be looking for petroleum jelly.	C	 hydrogen peroxide 	 aspirin 	 vitamins 	 petroleum jelly.
212	Thick feathers can be used for climbing, cracking nuts and peeling fruit skins. 	Thick feathers can be used for courtship and looking for food 	Thick feathers can be used for killing prey, preening and feeding young 	Thick feathers can be used for staying weatherproof, flexible and free of bacteria	D	 climbing, cracking nuts and peeling fruit skins. 	 courtship and looking for food 	 killing prey, preening and feeding young 	 staying weatherproof, flexible and free of bacteria
213	Webbed feet aid in what penguins laying eggs on ice 	Webbed feet aid in what fish hiding in coral reefs 	Webbed feet aid in what gulls dive bombing fish from the sea 	Webbed feet aid in what ducks chasing prey underwater	D	 penguins laying eggs on ice 	 fish hiding in coral reefs 	 gulls dive bombing fish from the sea 	 ducks chasing prey underwater
214	The melting point of a duck would be higher than the body temps 	The melting point of a duck would be lower than a refrigerator 	The melting point of a duck would be higher than the sun's 	The melting point of a duck would be lower than a freezer's	A	 higher than the body temps 	 lower than a refrigerator 	 higher than the sun's 	 lower than a freezer's
215	Frogs bury themselves in mud in order to retain energy 	Frogs bury themselves in mud in order to bear young 	Frogs bury themselves in mud in order to find food 	Frogs bury themselves in mud in order to take a nap	A	 retain energy 	 bear young 	 find food 	 take a nap
216	celestial bodies are known to circle balls of hydrogen 	celestial bodies are known to travel through deep space 	celestial bodies are known to crash into each other 	celestial bodies are known to slingshot around the galaxy	A	 circle balls of hydrogen 	 travel through deep space 	 crash into each other 	 slingshot around the galaxy
217	Riding a two wheeled human powered vehicle is good for the environment because it runs without fuel 	Riding a two wheeled human powered vehicle is good for the environment because it helps people stay in shape 	Riding a two wheeled human powered vehicle is good for the environment because they are cheaper to maintain 	Riding a two wheeled human powered vehicle is good for the environment because they are more fun to drive	A	 it runs without fuel 	 it helps people stay in shape 	 they are cheaper to maintain 	 they are more fun to drive
218	If an animal is able to reproduce then that animal has matured 	If an animal is able to reproduce then that animal was impregnated 	If an animal is able to reproduce then that animal was in heat 	If an animal is able to reproduce then that animal was interested	A	 that animal has matured 	 that animal was impregnated 	 that animal was in heat 	 that animal was interested
219	A kid having a preference is something like he gets bored easily 	A kid having a preference is something like he likes having dinner 	A kid having a preference is something like he hates eating peas 	A kid having a preference is something like he likes blonde girls	D	 he gets bored easily 	 he likes having dinner 	 he hates eating peas 	 he likes blonde girls
220	Worms are excellent decomposers because they eat a lot of rot 	Worms are excellent decomposers because worms eat dead bodies 	Worms are excellent decomposers because they enjoy eating carcasses and expel waste back to earth 	Worms are excellent decomposers because worms enjoy eating dirt and decay	C	 they eat a lot of rot 	 worms eat dead bodies 	 they enjoy eating carcasses and expel waste back to earth 	 worms enjoy eating dirt and decay
221	Sickness has the potential to strengthen an organism 	Sickness has the potential to test an organism 	Sickness has the potential to eliminate an organism 	Sickness has the potential to eat an organism	C	 strengthen an organism 	 test an organism 	 eliminate an organism 	 eat an organism
222	a compass uses iron to locate the northern latitude 	a compass uses iron to locate the northern axis 	a compass uses iron to locate the northern shoreline 	a compass uses iron to locate the northern hemisphere	B	 latitude 	 axis 	 shoreline 	 hemisphere
223	When geese migrate in the late summer or early autumn, they head to less snowy areas 	When geese migrate in the late summer or early autumn, they prefer to visit florida 	When geese migrate in the late summer or early autumn, they take a scenic route 	When geese migrate in the late summer or early autumn, they travel in small groups	A	 head to less snowy areas 	 prefer to visit florida 	 take a scenic route 	 travel in small groups
224	Two animals with similar diets living in the same environments leads to them vying for the same prey 	Two animals with similar diets living in the same environments leads to them forming a strong friendship 	Two animals with similar diets living in the same environments leads to them moving to disparate environments 	Two animals with similar diets living in the same environments leads to them adopting different types of diets	A	 vying for the same prey 	 forming a strong friendship 	 moving to disparate environments 	 adopting different types of diets
225	A car engine is a source of heat and therefore needs radiator fluid 	A car engine is a source of heat and therefore needs water added 	A car engine is a source of heat and therefore needs wiper fluid 	A car engine is a source of heat and therefore needs gasoline	A	 radiator fluid 	 water added 	 wiper fluid 	 gasoline
226	A student is studying different aspects of science, and today's area is magnetic properties. The student has a magnet, and is testing which sort of objects the magnet will have an attraction to. The student is surprised that the magnet tugs itself towards a plastic cup 	A student is studying different aspects of science, and today's area is magnetic properties. The student has a magnet, and is testing which sort of objects the magnet will have an attraction to. The student is surprised that the magnet tugs itself towards a plaster wall 	A student is studying different aspects of science, and today's area is magnetic properties. The student has a magnet, and is testing which sort of objects the magnet will have an attraction to. The student is surprised that the magnet tugs itself towards a grey stone 	A student is studying different aspects of science, and today's area is magnetic properties. The student has a magnet, and is testing which sort of objects the magnet will have an attraction to. The student is surprised that the magnet tugs itself towards a paper plate	C	 a plastic cup 	 a plaster wall 	 a grey stone 	 a paper plate
227	While many habitats support a great variety of life, and deserts are included, many animals freeze in deserts 	While many habitats support a great variety of life, and deserts are included, many animals starve in deserts 	While many habitats support a great variety of life, and deserts are included, many animals are abandoned there 	While many habitats support a great variety of life, and deserts are included, many animals drown in deserts	B	 freeze in deserts 	 starve in deserts 	 are abandoned there 	 drown in deserts
228	Moving your face further from a mirror will make your face appear bigger 	Moving your face further from a mirror will make your face appear in macro 	Moving your face further from a mirror will make your wrinkles less obvious 	Moving your face further from a mirror will make it easier to see your pores	C	 will make your face appear bigger 	 will make your face appear in macro 	 will make your wrinkles less obvious 	 will make it easier to see your pores
229	Special tissues in plants transport minerals throughout the plant such as water 	Special tissues in plants transport minerals throughout the plant such as starch 	Special tissues in plants transport minerals throughout the plant such as spices 	Special tissues in plants transport minerals throughout the plant such as sugar	D	 water 	 starch 	 spices 	 sugar
230	The wolf raises his family near a den 	The wolf raises his family near a field 	The wolf raises his family near a tree 	The wolf raises his family near a mother.	A	 den 	 field 	 tree 	 mother.
231	When looking at an eclipse, an important thing to remember is to take a photograph 	When looking at an eclipse, an important thing to remember is to look through a window 	When looking at an eclipse, an important thing to remember is to use hands to shield eyes 	When looking at an eclipse, an important thing to remember is avert eyes at all costs	D	 to take a photograph 	 to look through a window 	 to use hands to shield eyes 	 avert eyes at all costs
232	A small volcano under the sea erupts ever four years. After a few centuries, there will be new ground to inhabit 	A small volcano under the sea erupts ever four years. After a few centuries, there will be a large fish eating a tree 	A small volcano under the sea erupts ever four years. After a few centuries, there will be a burst of fire from the future 	A small volcano under the sea erupts ever four years. After a few centuries, there will be a small crack in a tall mountain	A	 new ground to inhabit 	 a large fish eating a tree 	 a burst of fire from the future 	 a small crack in a tall mountain
233	Putting a cardboard box in a bin instead of the trash can conserve energy for later 	Putting a cardboard box in a bin instead of the trash can save wild animal species 	Putting a cardboard box in a bin instead of the trash can keep it from the trash 	Putting a cardboard box in a bin instead of the trash can reduce the height of landfills	D	 conserve energy for later 	 save wild animal species 	 keep it from the trash 	 reduce the height of landfills
234	Spiders catch their prey with a silky thread 	Spiders catch their prey with trickery 	Spiders catch their prey with seduction 	Spiders catch their prey with a flyswatter	A	 a silky thread 	 trickery 	 seduction 	 a flyswatter
235	An example of weathering is a smooth sandy beach 	An example of weathering is a smooth river stone 	An example of weathering is a tall pine tree 	An example of weathering is a large sharp boulder	B	 a smooth sandy beach 	 a smooth river stone 	 a tall pine tree 	 a large sharp boulder
236	Some people put metal tags on their dog's collars, because in darkness, these collars can melt wax 	Some people put metal tags on their dog's collars, because in darkness, these collars can reflect light 	Some people put metal tags on their dog's collars, because in darkness, these collars can read books 	Some people put metal tags on their dog's collars, because in darkness, these collars can stain clothes	B	 melt wax 	 reflect light 	 read books 	 stain clothes
237	Inanimate things may be pollinators such as bees 	Inanimate things may be pollinators such as birds 	Inanimate things may be pollinators such as wind 	Inanimate things may be pollinators such as deer	C	 bees 	 birds 	 wind 	 deer
238	The source of a type of energy we use is a planet 	The source of a type of energy we use is a star 	The source of a type of energy we use is a meteor 	The source of a type of energy we use is a rock	B	 planet 	 star 	 meteor 	 rock
239	What contains seeds human. 	What contains seeds whole pumpkin 	What contains seeds soda can 	What contains seeds leaf	B	 human. 	 whole pumpkin 	 soda can 	 leaf
240	To have a positive impact on the environment leave lights on 	To have a positive impact on the environment take shorter showers 	To have a positive impact on the environment use Styrofoam plates 	To have a positive impact on the environment take longer showers	B	 leave lights on 	 take shorter showers 	 use Styrofoam plates 	 take longer showers
241	If one mineral can scratch another mineral then that other mineral is softer than that one mineral, as can be tested with a diamond and steel 	If one mineral can scratch another mineral then that other mineral is softer than that one mineral, as can be tested with a rock and glass 	If one mineral can scratch another mineral then that other mineral is softer than that one mineral, as can be tested with a diamond and agate 	If one mineral can scratch another mineral then that other mineral is softer than that one mineral, as can be tested with a ruby and salt	C	 a diamond and steel 	 a rock and glass 	 a diamond and agate 	 a ruby and salt
242	John, who lives in Minnesota, noticed that the time between sunrise and sunset was the shortest it had been for an entire year. The month was most likely to be July 	John, who lives in Minnesota, noticed that the time between sunrise and sunset was the shortest it had been for an entire year. The month was most likely to be January 	John, who lives in Minnesota, noticed that the time between sunrise and sunset was the shortest it had been for an entire year. The month was most likely to be September 	John, who lives in Minnesota, noticed that the time between sunrise and sunset was the shortest it had been for an entire year. The month was most likely to be April	B	 July 	 January 	 September 	 April
243	Absorbing sun rays raises the Fahrenheit of an object 	Absorbing sun rays lowers the Celsius of an object 	Absorbing sun rays causes the object to cool 	Absorbing sun rays causes the temperature of the object to descend	A	 raises the Fahrenheit of an object 	 lowers the Celsius of an object 	 causes the object to cool 	 causes the temperature of the object to descend
244	To positively impact the environment toss plastic bottles in trash receptacles 	To positively impact the environment use plastic knives and forks for every meal 	To positively impact the environment scrap metal from old buildings is processed to be used for new construction 	To positively impact the environment buy a less fuel efficient car	C	 toss plastic bottles in trash receptacles 	 use plastic knives and forks for every meal 	 scrap metal from old buildings is processed to be used for new construction 	 buy a less fuel efficient car
245	A skill some humans have is ten fingers 	A skill some humans have is vision 	A skill some humans have is heart beating 	A skill some humans have is talking	D	 ten fingers 	 vision 	 heart beating 	 talking
246	A switch is used to stop the flow of currents which causes Joule heating in thermostat 	A switch is used to stop the flow of currents which causes Joule heating in solar energy 	A switch is used to stop the flow of currents which causes Joule heating in magnetic fields 	A switch is used to stop the flow of currents which causes Joule heating in electrical circuit.	D	 thermostat 	 solar energy 	 magnetic fields 	 electrical circuit.
247	Birds eat nuts, but sometimes they eat wolves 	Birds eat nuts, but sometimes they eat bugs 	Birds eat nuts, but sometimes they eat dogs 	Birds eat nuts, but sometimes they eat cats	B	 wolves 	 bugs 	 dogs 	 cats
248	air masses are pushed by westerlies but stopped by gravity 	air masses are pushed by westerlies but stopped by meandering air currents 	air masses are pushed by westerlies but stopped by currents 	air masses are pushed by westerlies but stopped by sunlight	B	 gravity 	 meandering air currents 	 currents 	 sunlight
249	An example of conservation is avoiding oil 	An example of conservation is avoiding sunlight 	An example of conservation is avoiding fats 	An example of conservation is avoiding tea	A	 oil 	 sunlight 	 fats 	 tea
250	After a long winter's hibernation, a female bear and her two cubs exit their cave and begin to search for food. One place they check is dry sticks 	After a long winter's hibernation, a female bear and her two cubs exit their cave and begin to search for food. One place they check is dirt pile 	After a long winter's hibernation, a female bear and her two cubs exit their cave and begin to search for food. One place they check is berry bushes 	After a long winter's hibernation, a female bear and her two cubs exit their cave and begin to search for food. One place they check is dead leaves	C	 dry sticks 	 dirt pile 	 berry bushes 	 dead leaves
251	Pressing your appendages against an object can allow one to sense differences in atomic structure 	Pressing your appendages against an object can allow one to sense differences in color 	Pressing your appendages against an object can allow one to sense differences in atomic value 	Pressing your appendages against an object can allow one to sense differences in material makeup	D	 sense differences in atomic structure 	 sense differences in color 	 sense differences in atomic value 	 sense differences in material makeup
252	Thermal conduction occurs when I leave a log poker in the fire 	Thermal conduction occurs when I sit down on a bed 	Thermal conduction occurs when I wave a flag in the air 	Thermal conduction occurs when I have a party	A	 I leave a log poker in the fire 	 I sit down on a bed 	 I wave a flag in the air 	 I have a party
253	Plants brought to the western United States from the eastern United States often die because of bad planting methods 	Plants brought to the western United States from the eastern United States often die because of small spaces 	Plants brought to the western United States from the eastern United States often die because of the wrong climate 	Plants brought to the western United States from the eastern United States often die because of people kill them	C	 bad planting methods 	 small spaces 	 the wrong climate 	 people kill them
254	A tiny spark grows and the result tears through an area of nature and spreads through the mountains, consuming bark and canopies 	A tiny spark grows and the result tears through an area of nature and spreads through the mountains, consuming a crystal lake 	A tiny spark grows and the result tears through an area of nature and spreads through the mountains, consuming a snowy mountaintop 	A tiny spark grows and the result tears through an area of nature and spreads through the mountains, consuming a small bird	A	 bark and canopies 	 a crystal lake 	 a snowy mountaintop 	 a small bird
255	One of Kangaroo's unusual features are They have horns 	One of Kangaroo's unusual features are They speak English 	One of Kangaroo's unusual features are They can fly 	One of Kangaroo's unusual features are webbed feet	D	 They have horns 	 They speak English 	 They can fly 	 webbed feet
256	As the earth orbits the sun various places experience different weather patterns 	As the earth orbits the sun weather is consistent world-wide 	As the earth orbits the sun weather is always different 	As the earth orbits the sun we all have snow	A	 various places experience different weather patterns 	 weather is consistent world-wide 	 weather is always different 	 we all have snow
257	When a person gets hurt physically, the person feels pain because there are magic receptors 	When a person gets hurt physically, the person feels pain because there are electric reactions 	When a person gets hurt physically, the person feels pain because there are making nervous 	When a person gets hurt physically, the person feels pain because there are loud nerves	B	 magic receptors 	 electric reactions 	 making nervous 	 loud nerves
258	During a sandstorm, a bird looks for a worm 	During a sandstorm, a bird looks for a mate 	During a sandstorm, a bird looks for a stream 	During a sandstorm, a bird looks for a bush	D	 worm 	 mate 	 stream 	 bush
259	Roads need repaved in spring because they are cold 	Roads need repaved in spring because road need it 	Roads need repaved in spring because they are lumpy 	Roads need repaved in spring because ice ruins them	D	 they are cold 	 road need it 	 they are lumpy 	 ice ruins them
260	On a rainy day the clouds are low 	On a rainy day the clouds are small 	On a rainy day the clouds are white 	On a rainy day the clouds are gray	D	 low 	 small 	 white 	 gray
261	The moon's surface has asteroid impact marks 	The moon's surface is smooth all over 	The moon's surface is filled with lakes 	The moon's surface has a stronger gravitational pull than Earth	A	 has asteroid impact marks 	 is smooth all over 	 is filled with lakes 	 has a stronger gravitational pull than Earth
262	I use a knife to chip away at what to make a sculpture A slab of rock 	I use a knife to chip away at what to make a sculpture A bucket of sand 	I use a knife to chip away at what to make a sculpture A glass of water 	I use a knife to chip away at what to make a sculpture A bag of air	A	 A slab of rock 	 A bucket of sand 	 A glass of water 	 A bag of air
263	An animal living in an environment lacking in food resources will be in poor shape 	An animal living in an environment lacking in food resources will be thriving and lively 	An animal living in an environment lacking in food resources will be switching to a new diet 	An animal living in an environment lacking in food resources will hibernate until more food comes along	A	 will be in poor shape 	 will be thriving and lively 	 will be switching to a new diet 	 will hibernate until more food comes along
264	If plants are going to grow, their seeds need to travel elsewhere 	If plants are going to grow, their seeds need to be eaten 	If plants are going to grow, their seeds need to pass a test 	If plants are going to grow, their seeds need to be washed	A	 travel elsewhere 	 be eaten 	 pass a test 	 be washed
265	If I wanted to get more energy after exerting myself too much I can consume an apple 	If I wanted to get more energy after exerting myself too much I can go for a run 	If I wanted to get more energy after exerting myself too much I can brush my hair 	If I wanted to get more energy after exerting myself too much I can wash my face	A	 I can consume an apple 	 I can go for a run 	 I can brush my hair 	 I can wash my face
266	Birds build nests out of things such as fragments from plants 	Birds build nests out of things such as small glass shards 	Birds build nests out of things such as entire tree trunks 	Birds build nests out of things such as several flower buds	A	 fragments from plants 	 small glass shards 	 entire tree trunks 	 several flower buds
267	A thermal insulator between a stove and a pan would make the pan get hot slower 	A thermal insulator between a stove and a pan would make the pan get hot immediately 	A thermal insulator between a stove and a pan would make the pan get hot same speed 	A thermal insulator between a stove and a pan would make the pan get hot faster	A	 slower 	 immediately 	 same speed 	 faster
268	The reason raccoons are often found in dumpsters is because they are known to consume waste 	The reason raccoons are often found in dumpsters is because they are known to consume caviar 	The reason raccoons are often found in dumpsters is because they are known to consume cats 	The reason raccoons are often found in dumpsters is because they are known to consume roses	A	 waste 	 caviar 	 cats 	 roses
269	If you desired to keep your house cooler in the summer months plant trees that tower above the ground 	If you desired to keep your house cooler in the summer months plant ivy around the trees 	If you desired to keep your house cooler in the summer months plant shrubs around the foundation 	If you desired to keep your house cooler in the summer months plant trees that stay smaller than dogwoods	A	 plant trees that tower above the ground 	 plant ivy around the trees 	 plant shrubs around the foundation 	 plant trees that stay smaller than dogwoods
270	Billy's new puppy had floppy ears. That might be because The puppy's mother had ears that looked the same way 	Billy's new puppy had floppy ears. That might be because The puppy was deaf 	Billy's new puppy had floppy ears. That might be because The puppy was tired 	Billy's new puppy had floppy ears. That might be because The puppy was missing the bones in its ears	A	 The puppy's mother had ears that looked the same way 	 The puppy was deaf 	 The puppy was tired 	 The puppy was missing the bones in its ears
271	Materials like ethanol are used to produce electricity by _____. hydroelectric power 	Materials like ethanol are used to produce electricity by _____. renewable energy 	Materials like ethanol are used to produce electricity by _____. burning 	Materials like ethanol are used to produce electricity by _____. carbon fixation	C	 hydroelectric power 	 renewable energy 	 burning 	 carbon fixation
272	Water vapor condensing in clouds may cause people to use umbrellas 	Water vapor condensing in clouds may cause dogs to take a nap 	Water vapor condensing in clouds may cause rockets to fly to the moon 	Water vapor condensing in clouds may cause the earth to spin	A	 people to use umbrellas 	 dogs to take a nap 	 rockets to fly to the moon 	 the earth to spin
273	A man is burned in an accident on the road, which means that at one point he was exposed to extreme heat 	A man is burned in an accident on the road, which means that at one point he was frozen in an ice storm 	A man is burned in an accident on the road, which means that at one point he was crashed into a helicopter 	A man is burned in an accident on the road, which means that at one point he was melted by molten lava	A	 exposed to extreme heat 	 frozen in an ice storm 	 crashed into a helicopter 	 melted by molten lava
274	Cooking food requires higher temps to be applied 	Cooking food requires a stove to be used 	Cooking food requires an oven to be used 	Cooking food requires a fire to be built	A	 higher temps to be applied 	 a stove to be used 	 an oven to be used 	 a fire to be built
275	High can be visually represented by basins 	High can be visually represented by mountains 	High can be visually represented by deep sea 	High can be visually represented by valleys	B	 basins 	 mountains 	 deep sea 	 valleys
276	To positively affect the environment cut down trees and shrubs 	To positively affect the environment drive a gas guzzling car 	To positively affect the environment use Styrofoam plates and cups 	To positively affect the environment cultivate dogwoods and oaks	D	 cut down trees and shrubs 	 drive a gas guzzling car 	 use Styrofoam plates and cups 	 cultivate dogwoods and oaks
277	as rainfall increases in an area, electricity will be less and less available for solar panels 	as rainfall increases in an area, electricity will be less and less available for energy 	as rainfall increases in an area, electricity will be less and less available for coal power plants 	as rainfall increases in an area, electricity will be less and less available for wind turbines	A	 solar panels 	 energy 	 coal power plants 	 wind turbines
278	Stormy weather often leads to picnics in the park 	Stormy weather often leads to moisture in rain gauges 	Stormy weather often leads to dry fields and roads 	Stormy weather often leads to sunny and bright days	B	 picnics in the park 	 moisture in rain gauges 	 dry fields and roads 	 sunny and bright days
279	Venus fly traps are poor at creating their own food though photosynthesis because they are unhealthy 	Venus fly traps are poor at creating their own food though photosynthesis because they need water 	Venus fly traps are poor at creating their own food though photosynthesis because they require insects 	Venus fly traps are poor at creating their own food though photosynthesis because they grow slowly	C	 they are unhealthy 	 they need water 	 they require insects 	 they grow slowly
280	To help your body repair cells eat chicken 	To help your body repair cells chew gum 	To help your body repair cells eat raw sugar 	To help your body repair cells drink soda	A	 eat chicken 	 chew gum 	 eat raw sugar 	 drink soda
281	A nail can attach to metals after it receives water 	A nail can attach to metals after it receives electricity 	A nail can attach to metals after it receives light 	A nail can attach to metals after it receives heat	B	 water 	 electricity 	 light 	 heat
282	As leaves turn from green to gold, another change is darkness comes earlier 	As leaves turn from green to gold, another change is the sun shines 	As leaves turn from green to gold, another change is more rain storms 	As leaves turn from green to gold, another change is warmer weather	A	 darkness comes earlier 	 the sun shines 	 more rain storms 	 warmer weather
283	An example of a change in the Earth is the sands of Mars moving 	An example of a change in the Earth is the moon appearing larger in the night sky 	An example of a change in the Earth is a volcano erupting in Hawaii burning through a forest 	An example of a change in the Earth is a skyscraper being built	C	 the sands of Mars moving 	 the moon appearing larger in the night sky 	 a volcano erupting in Hawaii burning through a forest 	 a skyscraper being built
284	A good example of increased demand may equal increased production is soldiers eat beans, so beans are planted when there is war 	A good example of increased demand may equal increased production is dogs eat kibble, so stores sell it 	A good example of increased demand may equal increased production is cats eat mice, so mice are afraid of cats 	A good example of increased demand may equal increased production is people have babies, so baby clothes are made	A	 soldiers eat beans, so beans are planted when there is war 	 dogs eat kibble, so stores sell it 	 cats eat mice, so mice are afraid of cats 	 people have babies, so baby clothes are made
285	Feeling sweaty is normal on the ocean because the desert is drier 	Feeling sweaty is normal on the ocean because the ocean is wet 	Feeling sweaty is normal on the ocean because there is more moisture in the air 	Feeling sweaty is normal on the ocean because the moisture is higher up	C	 the desert is drier 	 the ocean is wet 	 there is more moisture in the air 	 the moisture is higher up
286	Beach balls contain water 	Beach balls contain carbon dioxide 	Beach balls contain sunlight 	Beach balls contain beach sand	B	 water 	 carbon dioxide 	 sunlight 	 beach sand
287	A a switch turns something with batteies on because: electrons are then disturbed 	A a switch turns something with batteies on because: a piece of metal closes the circuit 	A a switch turns something with batteies on because: it lets the acid free 	A a switch turns something with batteies on because: the circuit is opened	B	 electrons are then disturbed 	 a piece of metal closes the circuit 	 it lets the acid free 	 the circuit is opened
